id,name,original_name,overview,first_air_date,original_language,origin_country,popularity,vote_average,vote_count,genre_ids,poster_path,backdrop_path
200709,약한영웅,약한영웅,"연시은은 공부 외엔 관심이 없지만 걸어온 싸움을 피하지도 않는다. 타고난 두뇌로 유리한 상황을 만들고 주변 도구를 활용하여 자신을 보호하던 시은이지만 혼자이기에 결국 위기가 닥치고, 그 순간 또 다른 아웃사이더 안수호와 전학생 오범석의 도움을 받는다. 그렇게 정글 같은 학교에서 살아남기 위해 따로 또 같이 싸우던 이들 사이에 묘한 우정이 싹튼다.",2022-11-18,ko,KR,53.3346,8.534,248,"10759,18",/jXd83QZhBDAFno4OGqHcMMDs56i.jpg,/cLTAda6fMRirkCY1xfO4pmcHVkk.jpg
128094,더 쇼,더 쇼,"기존의 정형화된 음악 쇼와는 다르게 화려한 비주얼과 노래, 퍼포먼스뿐만 아니라 멀티 엔터테이너로 거듭난 케이팝 스타들의 모든 것을 보여주는 프로그램",2011-04-15,ko,KR,63.633,0,0,10764,/hO1l5Oorw1KJA9b7U8MN9mB7IGF.jpg,/9jEbR8TkvQRaYANvsgxRTrbmXbO.jpg
63942,맛있는 녀석들,맛있는 녀석들,코미디TV의 먹방 음식 정보 프로그램으로 매주 금요일 저녁 8시 20분에 방송한다. 먹어본 자가 맛을 안다! 맛 좀 아는 녀석들의 신개념 먹방 제안 프로그램.,2015-01-30,ko,KR,50.4698,5.2,4,10764,/c2a1brhbBrYkAu9JPSXAHG8h7rj.jpg,/t2aDmvYojjyvZr1xTq77qjCc2rW.jpg
123473,출장 십오야,출장 십오야,"게임이 필요한 곳 어디든, 부르면 나PD가 달려갑니다! 각종 행사, 체육대회, 촬영장 등 장소불문 불러만 주세요! 세계최초(?) 예능배달서비스",2021-03-12,ko,KR,43.5902,8.8,9,10764,/wkF2M0ApsqscicSzsMZglxNBL2S.jpg,/q1o1JehssonxPGRSpHCjmfAFMv3.jpg
96108,신상출시 편스토랑,신상출시 편스토랑,"연예계 소문난 맛.잘.알 6인의 스타들이 혼자 먹기에 아까운 필살의 메뉴를 공개, 이 중 메뉴 평가단의 평가를 통해 승리한 메뉴가 방송 다음 날 실제로 전국의 편의점에서 출시되는 신개념 편의점 신상 서바이벌 프로그램",2019-10-25,ko,KR,42.9555,10,1,,/ujBF2OTTAtacUTPTicpXPL6T4l1.jpg,/2PFyQAG5NQyM3c5WbR0nwwqC0u1.jpg
128849,무인시대,무인시대,"무인정변에서 최씨 정권에 이르기까지 천하를 쟁패했던 무인들의 야망과 투쟁, 인간적인 고뇌와 갈등, 삶과 사랑 등 그들의 흥망성회를 통해 역동적인 드라마화 하고자함.서사적 영웅들의 시대를 새롭게 조명하여 역동적이고 진취적인 역사로 고양시킨다.",2003-02-08,ko,KR,48.5322,4.7,2,18,/gnqMe8arsxAVBLRoZi8ovSBNEeX.jpg,/usHw0duwzT5hktn3RpnqQCCxAM1.jpg
33238,런닝맨,런닝맨,"대한민국 최고의 연예인들이 곳곳에 있는 미션을 해결하고, 끊임없는 질주와 긴박감 넘치는 대결을 통해 대한민국 랜드마크들의 숨겨진 뒷모습을 전격 공개하는 프로그램",2010-07-11,ko,KR,50.1145,8.3,191,"3,510,764",/15SMnscZqd7HZ0bzruatOcKUlOV.jpg,/wsHj4oHQJoe7DMYaqNFwVoyLiAh.jpg
126485,무빙,무빙,"초능력을 숨긴 채 현재를 살아가는 아이들과, 과거의 아픈 비밀을 감춘 채 살아온 부모들이 시대와 세대를 넘어 닥치는 거대한 위험에 함께 맞서는 초능력 휴먼 액션 시리즈.",2023-08-09,ko,KR,40.427,8.4,219,"9648,18,10759",/b9MhD5syJ7TbYSeje4wB4oyTzc7.jpg,/8KtphbDARuisrYYr7DVELnJLRWA.jpg
96648,스위트홈,스위트홈,인간이 무시무시한 괴물로 변하는 세상. 사방이 공포로 물들었다. 이제 소수의 생존자들은 끝까지 인간성을 놓치지 않기 위해 목숨 건 사투를 벌인다.,2020-12-18,ko,KR,48.9189,8.272,1468,"1,076,510,759",/kJEcSBMPacDJuAihPNmcUEgon1Y.jpg,/mceCXNTny6a5F3rQgShLoyARw4l.jpg
214252,몽땅 내 사랑,몽땅 내 사랑,욕심꾸러기 팥쥐 가족의 고군분투 생존기를 그린 시트콤.,2010-11-08,ko,KR,28.9837,0,0,35,/3EMZdgTIz140RSJ4RYigZgtFhZf.jpg,/6T1IEoSsANi9vjL8uPDJRi26hAC.jpg
